民生-故事	老百姓生活问题的新闻
文化-文化	文学、艺术、教育、历史、哲学、宗教等多个方面的文化新闻
娱乐-娱乐	明星 、电影、最新影讯/影评、电影院在线购票订座、电视剧、音乐、戏剧、演出等娱乐信息
体育-体育	国内国际最热门体育赛事比分和赛果
财经-财经	股票、债券、基金、期货、信托、理财、管理等服务新闻
房产-房产	涵盖土地政策、房产金融、房产营销等信息
汽车-汽车	海外、国内所有汽车品牌、高清车模、购车指南、车展报道
教育-教育	高考、考研、自考、成人高考、教师招聘、就业、留学等权威的招考、招生、就业、招聘新闻
科技-科技	通信、互联网、IT产业、IT产品和科普探索等前沿科技领域知识
军事-军事	权威军事资讯、追踪军事热点、反映军事动态、介绍国内外最新武器发展动态
旅游-旅游	文化和旅游部相关政策法规、跟踪报道全国各地旅游重点事件、大型旅游会议活动专题
国际-国际	世界新闻、国际博览、新闻人物、评论分析、媒体聚焦
证券-股票	证券、股票方面的新闻
农业-三农	种植业、林业、渔业、牧业等农业生产活动的新闻
电竞-游戏	各种电竞赛事的报道、游戏更新、行业趋势、选手动态、以及与电子竞技相关的文化和活动
